Average Fitness (Memory Length: 3),Diversity
6.75,0.99
7.24,0.91
7.25,0.84
7.25,0.83
7.25,0.82
7.25,0.82
7.25,0.83
7.25,0.82
7.25,0.83
7.25,0.82
7.25,0.83
7.25,0.82
7.26,0.83
7.25,0.82
7.25,0.83
7.26,0.83
7.26,0.81
7.25,0.83
7.25,0.82
7.25,0.83
7.26,0.84
7.25,0.84
7.25,0.84
7.25,0.82
7.25,0.84
7.25,0.83
7.25,0.84
7.25,0.83
7.25,0.83
7.25,0.82
7.25,0.81
7.25,0.82
7.26,0.82
7.25,0.80
7.25,0.85
7.25,0.83
7.25,0.83
7.26,0.83
7.25,0.81
7.25,0.82
7.25,0.83
7.25,0.82
7.25,0.82
7.25,0.84
7.24,0.83
7.25,0.82
7.25,0.83
7.26,0.84
7.25,0.82
7.25,0.81
