Average Fitness (Memory Length: 3),Diversity,Average Fitness (Memory Length: 3),Diversity,Average Fitness (Memory Length: 3),Diversity,Average Fitness (Memory Length: 3),Diversity,Average Fitness (Memory Length: 3),Diversity,Average Fitness (Memory Length: 3),Diversity,Average Fitness (Memory Length: 3),Diversity,Average Fitness (Memory Length: 3),Diversity,Average Fitness (Memory Length: 3),Diversity
6.75,0.99,6.76,0.98,6.75,0.99,6.77,0.98,6.78,0.98,6.78,0.99,6.75,0.99,6.76,0.99,6.77,0.99
6.83,0.99,6.93,0.98,7.02,0.96,7.09,0.97,7.14,0.95,7.17,0.95,7.21,0.93,7.25,0.89,7.25,0.81
6.91,0.98,7.07,0.97,7.12,0.95,7.18,0.94,7.23,0.91,7.25,0.88,7.25,0.85,7.25,0.83,7.26,0.82
7,0.98,7.12,0.96,7.16,0.95,7.23,0.91,7.25,0.82,7.25,0.83,7.25,0.84,7.26,0.84,7.25,0.82
7.04,0.97,7.14,0.95,7.21,0.93,7.24,0.88,7.25,0.84,7.26,0.85,7.25,0.85,7.25,0.84,7.25,0.81
7.09,0.96,7.17,0.94,7.24,0.9,7.25,0.85,7.25,0.85,7.25,0.85,7.26,0.84,7.25,0.84,7.26,0.81
7.11,0.97,7.2,0.94,7.25,0.86,7.25,0.85,7.26,0.84,7.25,0.83,7.25,0.85,7.26,0.83,7.26,0.81
7.13,0.95,7.24,0.91,7.25,0.85,7.25,0.86,7.25,0.83,7.26,0.84,7.25,0.83,7.25,0.86,7.25,0.82
7.14,0.95,7.24,0.91,7.25,0.84,7.24,0.85,7.25,0.84,7.25,0.84,7.26,0.84,7.25,0.82,7.25,0.8
7.15,0.96,7.24,0.89,7.25,0.85,7.25,0.86,7.25,0.82,7.25,0.84,7.25,0.85,7.25,0.84,7.25,0.81
7.16,0.95,7.25,0.87,7.25,0.83,7.25,0.86,7.25,0.84,7.26,0.85,7.25,0.84,7.25,0.83,7.26,0.8
7.18,0.96,7.26,0.86,7.26,0.84,7.25,0.86,7.25,0.84,7.25,0.87,7.25,0.84,7.25,0.84,7.25,0.81
7.2,0.95,7.25,0.85,7.25,0.87,7.26,0.85,7.25,0.84,7.25,0.87,7.25,0.84,7.25,0.84,7.25,0.79
7.21,0.94,7.25,0.87,7.25,0.85,7.25,0.84,7.25,0.84,7.25,0.84,7.25,0.83,7.25,0.84,7.25,0.8
7.23,0.92,7.26,0.87,7.26,0.85,7.26,0.83,7.26,0.83,7.25,0.86,7.25,0.83,7.25,0.84,7.25,0.81
7.24,0.92,7.25,0.86,7.25,0.86,7.25,0.84,7.25,0.84,7.25,0.84,7.25,0.85,7.25,0.84,7.25,0.8
7.24,0.92,7.25,0.87,7.26,0.86,7.25,0.85,7.25,0.83,7.25,0.85,7.25,0.85,7.25,0.83,7.25,0.82
7.24,0.92,7.25,0.87,7.25,0.87,7.25,0.85,7.26,0.83,7.25,0.86,7.25,0.84,7.25,0.83,7.25,0.82
7.24,0.92,7.25,0.88,7.25,0.86,7.25,0.86,7.25,0.84,7.25,0.86,7.25,0.83,7.25,0.84,7.25,0.83
7.25,0.91,7.25,0.88,7.25,0.85,7.25,0.85,7.25,0.84,7.26,0.85,7.25,0.84,7.25,0.83,7.25,0.82
