Average Fitness (Memory Length: 10),Diversity,Average Fitness (Memory Length: 1),Diversity
6.75,1.00,6.69,0.08
7.24,1.00,7.24,0.04
7.26,1.00,7.26,0.02
7.26,1.00,7.26,0.02
7.26,1.00,7.26,0.03
7.26,1.00,7.25,0.02
7.25,1.00,7.26,0.03
7.25,1.00,7.26,0.01
7.26,1.00,7.25,0.03
7.26,1.00,7.24,0.03
7.26,1.00,7.26,0.03
7.26,1.00,7.25,0.02
7.25,1.00,7.26,0.01
7.26,1.00,7.26,0.01
7.26,1.00,7.23,0.03
7.26,1.00,7.26,0.02
7.25,1.00,7.26,0.01
7.26,1.00,7.26,0.03
7.26,1.00,7.26,0.02
7.25,1.00,7.26,0.01
7.26,1.00,7.26,0.01
7.26,1.00,7.26,0.02
7.25,1.00,7.26,0.01
7.26,1.00,7.26,0.02
7.24,1.00,7.25,0.03
7.26,1.00,7.26,0.02
7.25,1.00,7.26,0.02
7.26,1.00,7.24,0.03
7.26,1.00,7.26,0.03
7.26,1.00,7.26,0.02
7.26,1.00,7.26,0.01
7.24,1.00,7.26,0.01
7.25,1.00,7.25,0.03
7.26,1.00,7.26,0.02
7.26,1.00,7.26,0.02
7.26,1.00,7.26,0.01
7.25,1.00,7.25,0.03
7.26,1.00,7.26,0.03
7.26,1.00,7.26,0.02
7.26,1.00,7.26,0.02
7.26,1.00,7.26,0.02
7.25,1.00,7.25,0.04
7.26,1.00,7.26,0.01
7.25,1.00,7.22,0.03
7.25,1.00,7.26,0.01
7.25,1.00,7.26,0.02
7.24,1.00,7.25,0.03
7.26,1.00,7.26,0.01
7.26,1.00,7.26,0.03
7.25,1.00,7.26,0.03
