Average Fitness (Memory Length: 10),Diversity
6.75,1.00
7.24,1.00
7.26,1.00
7.26,1.00
7.26,1.00
7.26,1.00
7.25,1.00
7.25,1.00
7.26,1.00
7.26,1.00
7.26,1.00
7.26,1.00
7.25,1.00
7.26,1.00
7.26,1.00
7.26,1.00
7.25,1.00
7.26,1.00
7.26,1.00
7.25,1.00
7.26,1.00
7.26,1.00
7.25,1.00
7.26,1.00
7.24,1.00
7.26,1.00
7.25,1.00
7.26,1.00
7.26,1.00
7.26,1.00
7.26,1.00
7.24,1.00
7.25,1.00
7.26,1.00
7.26,1.00
7.26,1.00
7.25,1.00
7.26,1.00
7.26,1.00
7.26,1.00
7.26,1.00
7.25,1.00
7.26,1.00
7.25,1.00
7.25,1.00
7.25,1.00
7.24,1.00
7.26,1.00
7.26,1.00
7.25,1.00
