Average Fitness (Memory Length: 1),Diversity
6.69,0.08
7.24,0.04
7.26,0.02
7.26,0.02
7.26,0.03
7.25,0.02
7.26,0.03
7.26,0.01
7.25,0.03
7.24,0.03
7.26,0.03
7.25,0.02
7.26,0.01
7.26,0.01
7.23,0.03
7.26,0.02
7.26,0.01
7.26,0.03
7.26,0.02
7.26,0.01
7.26,0.01
7.26,0.02
7.26,0.01
7.26,0.02
7.25,0.03
7.26,0.02
7.26,0.02
7.24,0.03
7.26,0.03
7.26,0.02
7.26,0.01
7.26,0.01
7.25,0.03
7.26,0.02
7.26,0.02
7.26,0.01
7.25,0.03
7.26,0.03
7.26,0.02
7.26,0.02
7.26,0.02
7.25,0.04
7.26,0.01
7.22,0.03
7.26,0.01
7.26,0.02
7.25,0.03
7.26,0.01
7.26,0.03
7.26,0.03
