Average Fitness (Memory Length: 10),Diversity
3.86,1.00
5.00,1.00
4.98,1.00
4.98,1.00
5.00,1.00
4.98,1.00
5.00,1.00
4.96,1.00
5.00,1.00
5.00,1.00
4.96,1.00
4.96,1.00
5.00,1.00
4.98,1.00
5.00,1.00
4.98,1.00
4.96,1.00
5.00,1.00
4.98,1.00
4.98,1.00
4.96,1.00
5.00,1.00
5.00,1.00
5.00,1.00
5.00,1.00
5.00,1.00
5.00,1.00
5.00,1.00
4.98,1.00
5.00,1.00
4.98,1.00
5.00,1.00
5.00,1.00
5.00,1.00
5.00,1.00
5.00,1.00
4.98,1.00
4.94,1.00
5.00,1.00
5.00,1.00
5.00,1.00
5.00,1.00
5.00,1.00
4.98,1.00
5.00,1.00
5.00,1.00
4.98,1.00
5.00,1.00
5.00,1.00
4.98,1.00
