Average Fitness (Memory Length: 10),Diversity
0.40,1.00
1.00,1.00
1.00,1.00
1.00,1.00
1.00,1.00
1.00,1.00
0.99,1.00
0.98,1.00
1.00,1.00
1.00,1.00
1.00,1.00
1.00,1.00
0.99,1.00
1.00,1.00
0.99,1.00
1.00,1.00
0.99,1.00
0.99,1.00
1.00,1.00
0.99,1.00
0.99,1.00
0.99,1.00
1.00,1.00
1.00,1.00
1.00,1.00
1.00,1.00
0.99,1.00
0.99,1.00
0.99,1.00
1.00,1.00
0.99,1.00
1.00,1.00
0.99,1.00
0.99,1.00
1.00,1.00
1.00,1.00
0.99,1.00
0.97,1.00
0.99,1.00
1.00,1.00
1.00,1.00
0.99,1.00
1.00,1.00
0.99,1.00
1.00,1.00
1.00,1.00
1.00,1.00
1.00,1.00
1.00,1.00
1.00,1.00
