Average Fitness (Memory Length: 10),Diversity,Average Fitness (Memory Length: 1),Diversity
2.26,1.00,2.27,0.08
3.00,1.00,3.00,0.02
3.00,1.00,3.00,0.03
3.00,1.00,2.98,0.04
3.00,1.00,3.00,0.02
3.00,1.00,2.99,0.03
3.00,1.00,2.97,0.04
3.00,1.00,3.00,0.03
3.00,1.00,2.99,0.03
3.00,1.00,3.00,0.02
2.97,1.00,3.00,0.03
2.99,1.00,2.99,0.04
2.99,1.00,3.00,0.02
3.00,1.00,3.00,0.02
3.00,1.00,3.00,0.02
3.00,1.00,3.00,0.02
2.98,1.00,3.00,0.02
2.99,1.00,2.99,0.03
2.99,1.00,3.00,0.03
2.98,1.00,3.00,0.02
3.00,1.00,3.00,0.02
3.00,1.00,2.99,0.04
2.99,1.00,2.99,0.04
3.00,1.00,2.98,0.03
3.00,1.00,2.98,0.03
3.00,1.00,3.00,0.03
2.98,1.00,3.00,0.03
3.00,1.00,3.00,0.02
3.00,1.00,2.99,0.03
2.94,1.00,2.98,0.04
2.96,1.00,3.00,0.03
3.00,1.00,3.00,0.02
3.00,1.00,3.00,0.03
2.99,1.00,2.99,0.04
2.98,1.00,3.00,0.02
3.00,1.00,2.99,0.04
3.00,1.00,2.99,0.03
3.00,1.00,3.00,0.02
2.99,1.00,2.99,0.03
2.99,1.00,3.00,0.02
2.99,1.00,2.97,0.04
2.98,1.00,3.00,0.02
2.98,1.00,3.00,0.02
3.00,1.00,2.99,0.04
2.98,1.00,3.00,0.02
3.00,1.00,2.99,0.04
2.98,1.00,2.99,0.04
3.00,1.00,2.97,0.04
3.00,1.00,3.00,0.02
3.00,1.00,3.00,0.02
