Average Fitness (Memory Length: 10),Diversity
2.26,1.00
3.00,1.00
3.00,1.00
3.00,1.00
3.00,1.00
3.00,1.00
3.00,1.00
3.00,1.00
3.00,1.00
3.00,1.00
2.97,1.00
2.99,1.00
2.99,1.00
3.00,1.00
3.00,1.00
3.00,1.00
2.98,1.00
2.99,1.00
2.99,1.00
2.98,1.00
3.00,1.00
3.00,1.00
2.99,1.00
3.00,1.00
3.00,1.00
3.00,1.00
2.98,1.00
3.00,1.00
3.00,1.00
2.94,1.00
2.96,1.00
3.00,1.00
3.00,1.00
2.99,1.00
2.98,1.00
3.00,1.00
3.00,1.00
3.00,1.00
2.99,1.00
2.99,1.00
2.99,1.00
2.98,1.00
2.98,1.00
3.00,1.00
2.98,1.00
3.00,1.00
2.98,1.00
3.00,1.00
3.00,1.00
3.00,1.00
