Diversity,Diversity,Diversity,Diversity,Diversity,Diversity,Diversity,Diversity,Diversity,Diversity
0.08,0.62,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.02,0.23,0.83,0.96,0.99,1.00,1.00,1.00,1.00,1.00
0.04,0.13,0.86,0.97,0.97,1.00,1.00,1.00,1.00,1.00
0.01,0.13,0.76,0.95,0.98,0.99,1.00,1.00,1.00,1.00
0.03,0.14,0.81,0.98,0.99,1.00,1.00,1.00,1.00,1.00
0.01,0.11,0.83,0.97,0.97,1.00,1.00,1.00,1.00,1.00
0.03,0.16,0.83,0.96,1.00,1.00,1.00,1.00,1.00,1.00
0.02,0.14,0.79,0.97,1.00,1.00,0.99,1.00,1.00,1.00
0.02,0.15,0.82,0.97,1.00,0.98,0.99,1.00,1.00,1.00
0.02,0.15,0.70,0.98,1.00,1.00,1.00,1.00,1.00,1.00
0.01,0.15,0.77,0.97,0.99,0.99,0.99,1.00,1.00,1.00
0.03,0.12,0.79,0.96,0.98,1.00,1.00,1.00,1.00,1.00
0.03,0.15,0.67,0.97,0.98,1.00,0.99,1.00,1.00,1.00
0.02,0.14,0.85,0.94,0.97,1.00,1.00,1.00,1.00,1.00
0.01,0.16,0.80,0.98,0.98,1.00,0.98,1.00,1.00,1.00
0.02,0.17,0.77,0.98,0.98,1.00,1.00,1.00,1.00,1.00
0.02,0.11,0.83,0.98,0.98,1.00,1.00,1.00,1.00,1.00
0.02,0.14,0.78,0.99,0.97,0.98,0.99,1.00,1.00,1.00
0.02,0.14,0.79,0.94,0.95,1.00,1.00,1.00,1.00,1.00
0.01,0.10,0.79,0.93,0.97,0.99,1.00,1.00,1.00,1.00
0.02,0.15,0.82,0.97,1.00,1.00,1.00,1.00,1.00,1.00
0.03,0.15,0.84,0.96,0.99,1.00,1.00,1.00,1.00,1.00
0.01,0.17,0.80,0.97,0.97,1.00,1.00,1.00,1.00,1.00
0.02,0.17,0.84,0.97,0.99,0.99,0.98,1.00,1.00,1.00
0.01,0.15,0.80,0.97,0.98,0.99,0.99,1.00,1.00,1.00
0.01,0.16,0.80,0.95,0.95,0.99,0.99,1.00,1.00,1.00
0.02,0.16,0.71,0.95,0.99,0.99,1.00,1.00,1.00,1.00
0.03,0.16,0.78,0.94,0.97,0.98,0.99,1.00,1.00,1.00
0.03,0.16,0.74,0.95,0.96,0.96,0.99,1.00,1.00,1.00
0.01,0.16,0.79,0.98,0.97,0.99,1.00,1.00,1.00,1.00
0.04,0.14,0.79,0.98,0.98,0.98,1.00,1.00,1.00,1.00
0.01,0.14,0.77,0.98,0.97,0.97,0.99,1.00,1.00,1.00
0.04,0.16,0.86,0.98,0.97,1.00,1.00,1.00,1.00,1.00
0.01,0.14,0.79,0.95,0.99,1.00,1.00,1.00,1.00,1.00
0.01,0.19,0.78,0.96,1.00,0.99,0.99,1.00,1.00,1.00
0.03,0.15,0.83,0.97,0.98,0.99,0.99,1.00,1.00,1.00
0.02,0.13,0.75,0.95,1.00,0.95,1.00,1.00,1.00,1.00
0.03,0.16,0.74,0.98,0.97,0.99,1.00,1.00,1.00,1.00
0.02,0.13,0.75,0.95,0.96,1.00,0.99,1.00,1.00,1.00
0.02,0.17,0.85,0.98,0.98,0.99,1.00,1.00,1.00,1.00
0.02,0.17,0.73,0.93,1.00,0.98,0.99,1.00,1.00,1.00
0.02,0.15,0.81,0.98,0.98,0.99,1.00,1.00,1.00,1.00
0.03,0.15,0.78,1.00,0.98,0.99,1.00,1.00,1.00,1.00
0.03,0.15,0.82,0.97,0.99,0.98,0.99,1.00,1.00,1.00
0.01,0.18,0.84,0.96,0.97,1.00,0.99,1.00,1.00,1.00
0.01,0.17,0.89,1.00,0.97,0.99,1.00,1.00,1.00,1.00
0.01,0.16,0.87,0.99,0.96,0.99,1.00,1.00,1.00,1.00
0.04,0.15,0.85,0.97,0.97,1.00,0.97,1.00,1.00,1.00
0.02,0.19,0.91,0.93,0.99,0.99,1.00,1.00,1.00,1.00
0.04,0.18,0.86,0.97,0.96,0.98,1.00,1.00,1.00,1.00
